mode,seed_index,threshold,k,precision_at_k,recall_at_k,f1_score,ndcg_at_k
lexical,772,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,772,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,772,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,731,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,731,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,731,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,882,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,882,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,882,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,174,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,174,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,174,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,783,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,783,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,783,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,350,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,350,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,350,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,431,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,431,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,431,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,734,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,734,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,734,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,330,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,330,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,330,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,719,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,719,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,719,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,375,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,375,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,375,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,680,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,680,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,680,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,586,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,586,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,586,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,334,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,334,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
