mode,threshold,k,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
lexical,1,5,1.0,0.0,0.005611672278338945,0.0,0.011160714285714284,0.0,1.0,0.0
lexical,1,10,1.0,0.0,0.01122334455667789,0.0,0.022197558268590455,0.0,1.0,0.0
lexical,1,20,1.0,0.0,0.02244668911335578,0.0,0.043907793633369926,0.0,1.0,0.0
lexical,2,5,0.88,0.1914854215512676,0.008546520576169073,0.0031736689108297677,0.016892394441393004,0.006130513742816391,0.8793007753671661,0.18741045537590548
lexical,2,10,0.848,0.20436894741292438,0.016218378106415597,0.005113806649392128,0.03172239653927721,0.009733900868135924,0.85648916859842,0.18841836709960663
lexical,2,20,0.828,0.1887900067976763,0.031145378443180084,0.007597793338196005,0.05968446430080717,0.013706502464461917,0.8388189745784247,0.18400021055812682
semantic,1,5,1.0,0.0,0.005611672278338945,0.0,0.011160714285714284,0.0,1.0,0.0
semantic,1,10,1.0,0.0,0.01122334455667789,0.0,0.022197558268590455,0.0,1.0,0.0
semantic,1,20,1.0,0.0,0.02244668911335578,0.0,0.043907793633369926,0.0,1.0,0.0
semantic,2,5,0.8959999999999999,0.27153882472555063,0.009589225739069066,0.004872586720995013,0.018946765922528603,0.00954134969362913,0.9036608598053044,0.2641384822423936
semantic,2,10,0.884,0.2426932219902319,0.018653564084786915,0.008275886959764986,0.03643495877547346,0.015876764922327268,0.8922183482680152,0.24519155587811947
semantic,2,20,0.8859999999999999,0.21627528753882166,0.03740669911449091,0.015751889877291335,0.07140823479321483,0.02894229374944502,0.8906768484760162,0.22356102537939665
